season,timestamp,MW
spring,00:00:00,1751.5918972332015
spring,01:00:00,1646.110671936759
spring,02:00:00,1581.7084980237155
spring,03:00:00,1545.7042957042956
spring,04:00:00,1533.75790513834
spring,05:00:00,1559.4654150197628
spring,06:00:00,1654.9673913043478
spring,07:00:00,1825.6314229249012
spring,08:00:00,1934.788537549407
spring,09:00:00,1984.040513833992
spring,10:00:00,2019.5306324110672
spring,11:00:00,2045.2776679841897
spring,12:00:00,2044.7588932806325
spring,13:00:00,2043.5750988142292
spring,14:00:00,2035.1749011857708
spring,15:00:00,2015.4130434782608
spring,16:00:00,1986.5138339920948
spring,17:00:00,1979.3735177865613
spring,18:00:00,1975.2806324110672
spring,19:00:00,1971.509881422925
spring,20:00:00,1978.9525691699605
spring,21:00:00,2020.6442687747035
spring,22:00:00,2008.2569169960475
spring,23:00:00,1889.2796442687747
